onset	duration	trial_type
7.506580114364624	7.5000059604644775	visual_scene
21.006590127944946	7.5000059604644775	visual_scene
34.506601095199585	7.5000059604644775	visual_scrambled_scene
48.00661110877991	7.5000059604644775	visual_scene
61.506622076034546	7.50000524520874	visual_object
75.00663208961487	7.5000059604644775	visual_object
88.50664281845093	7.500006437301636	visual_object
102.00665283203125	7.500006437301636	visual_object
115.50666427612305	7.5000059604644775	visual_scrambled_scene
129.00667524337769	7.500006198883057	visual_scrambled_scene
142.506685256958	7.5000059604644775	visual_scrambled_scene
156.00669622421265	7.5000059604644775	visual_scrambled_scene
169.50670719146729	7.5000059604644775	visual_scene
183.00671815872192	7.5000059604644775	visual_object
196.50672912597656	7.5000059604644775	visual_scrambled_scene
210.0067400932312	7.500005006790161	visual_scrambled_scene
223.50675010681152	7.5000059604644775	visual_object
237.00676107406616	7.500006198883057	visual_scene
250.50677227973938	7.500004768371582	visual_scrambled_scene
264.00678181648254	7.500006437301636	visual_scene
277.5067934989929	7.500004768371582	visual_object
291.00680327415466	7.5000059604644775	visual_scrambled_scene
304.5068144798279	7.500004768371582	visual_object
318.0068242549896	7.5000059604644775	visual_scene
331.50683522224426	7.500005006790161	visual_object
345.0068452358246	7.5000059604644775	visual_scene
358.5068552494049	7.5000059604644775	visual_scene
372.00686621665955	7.500005006790161	visual_scrambled_scene
385.50687646865845	7.500005722045898	visual_scene
399.0068862438202	7.5000059604644775	visual_object
